Designator,Mid X,Mid Y,Rotation,Layer
U13,162.708676,-84.42983,90.0,top
U14,163.150001,-68.374331,270.0,top
U15,132.18,-44.255,180.0,top
U16,162.813676,-52.4911,90.0,top
U17,163.255001,-36.435601,270.0,top
U18,246.1,-66.6,270.0,top
U19,217.375,-55.276401,90.0,top
U2,63.04131,-101.90373,90.0,top
U20,225.375,-55.276401,90.0,top
U21,222.075,-42.776401,270.0,top
U22,238.6,-45.95,270.0,top
U23,241.1,-60.65,0.0,top
U24,201.062623,-46.43627,0.0,top
U25,89.6636,-119.44,270.0,top
U26,220.26,-121.82,270.0,top
U27,233.46,-121.84,270.0,top
U28,209.68,-91.91,90.0,top
U29,221.32,-91.88,90.0,top
U3,104.86869,-59.93627,0.0,top
U30,233.03,-91.9,90.0,top
U31,244.54,-91.87,90.0,top
U4,104.86869,-68.88627,0.0,top
U5,104.71869,-50.43627,0.0,top
U6,132.075,-138.60627,180.0,top
U7,162.708676,-146.84237,90.0,top
U8,163.150001,-130.786871,270.0,top
U9,132.075,-107.4,180.0,top
Y1,94.01,-98.69,90.0,top
